hop:1	rtt:3 ms	ip:192.168.0.1
hop:3	rtt:10 ms	ip:172.25.44.1
hop:4	rtt:12 ms	ip:212.156.38.21
hop:5	rtt:13 ms	ip:81.212.216.50
hop:7	rtt:40 ms	ip:212.156.139.74
hop:8	rtt:39 ms	ip:185.84.16.29
hop:9	rtt:43 ms	ip:129.250.7.20
hop:10	rtt:57 ms	ip:129.250.7.29
hop:11	rtt:145 ms	ip:129.250.6.162
hop:12	rtt:178 ms	ip:129.250.2.87
hop:13	rtt:176 ms	ip:129.250.3.150
hop:14	rtt:176 ms	ip:129.250.194.138
hop:15	rtt:285 ms	ip:179.31.62.57
hop:16	rtt:283 ms	ip:179.31.62.120
hop:17	rtt:299 ms	ip:179.31.59.236
hop:18	rtt:302 ms	ip:200.40.177.58
hop:19	rtt:302 ms	ip:200.40.177.59
hop:20	rtt:302 ms	ip:179.27.56.10
hop:21	rtt:305 ms	ip:179.27.56.11
hop:22	rtt:302 ms	ip:190.0.129.130
hop:23	rtt:304 ms	ip:190.64.204.144
